player,date,minutes,distance_m,explosive_distance_m,abs_hsr_m,abs_hsr_count,distance_abs_m,distance_rel_m,sprints_abs_count,sprints_rel_count,accelerations,decelerations,distance_acceleration,distance_deceleration,player_load,player_load_horizontal,player_load_vertical,player_load_anteroposterior,player_load_mediolateral,energy_expenditure,hmld_m,hmld_count,dsl,mechanical_actions,high_mechanical_actions,locomotor_load,high_speed_distance,very_high_speed_distance,high_speed_actions,high_accelerations,very_high_accelerations,high_decelerations,very_high_decelerations,avg_speed_kmh,avg_heart_rate,avg_hr_percent,metabolic_power,metabolic_power_avg,player_load_min,distance_min,hsr_min,accelerations_min,decelerations_min,sprints_min,high_speed_distance_min,very_high_speed_distance_min,high_accelerations_min,very_high_accelerations_min,high_decelerations_min,very_high_decelerations_min,energy_min,hmld_min,hsr_ratio,high_speed_ratio,sprint_ratio,hmld_ratio,rpe_general,rpe_peripheral,wellness_fatigue,wellness_sleep,wellness_doms,wellness_stress,wellness_mood,max_speed_kmh,max_acceleration,max_deceleration,max_heart_rate,team,position,sport,week_calendar,week_team,week_match_day,session,type_session,group,match_day
SERGI CARDONA,2022-02-08,120.83033333333333,8932.11071300151,1168.49548607729,720.2874123293379,36.0,270.921470905224,0.0,14.0,0.0,4066.0,4112.0,701.460704373939,397.98395184153003,143.5440389560103,93.4815082407054,93.8425013250947,63.3272336315721,54.909334986594004,854.996054174765,1945.23678617738,214.0,401.992797851295,8192.0,338.0,9923.319596236073,1116.5520009994516,583.0135488510136,80.0,93.0,2.0,245.0,40.0,5.819437076530905,0.0,0.0,12382.44989813845,8.952556737376735,1.187980161902036,73.92275156901697,5.961147275347564,33.650490632870884,34.031189739883196,0.1158649456124428,9.240659776376116,4.825059509209997,0.76967428156837,0.01655213508749183,2.0276365482177487,0.3310427017498366,7.076005093986597,16.098911030983224,8.064022440752925,12.500427243632432,3.033118146541476,21.778019201507533,,,,,,,,28.8402005195618,5.07958364486694,-6.26749992370605,0.0,UD Las Palmas,DEF LATERAL,,0.0,0.0,0.0,,Tactical,Collective,No MD
Sidnei Rechel da Silva,2022-02-08,120.82983333333334,7617.8007149818095,990.741991611014,351.4326219393747,25.0,42.6802211899236,351.4326219393747,2.0,25.0,4165.0,4179.0,501.63599259313605,364.443918417035,124.44059007550331,81.5225306043523,80.7954299457968,54.2520502605662,49.2098580143658,636.904215960262,1476.970181814286,180.0,330.613687109116,8346.0,292.0,8011.913558111108,664.9759345054631,219.1728873252872,65.0,76.0,0.0,216.0,15.0,5.324033246832755,0.0,0.0,10065.156458616655,8.1985405069975,1.0298829903390578,63.045694137196875,2.9084921516847357,34.4699639575767,34.585829382644185,0.016552203581069243,5.503408522223097,1.8138971252294525,0.6289837360806313,0.0,1.7876379867554784,0.12414152685801932,5.271084122107774,12.223555566279458,4.613308159246246,8.729237733899566,0.5602695946874151,19.38840666846997,,,,,,,,28.3350002288818,4.41733169555664,-5.10883855819702,0.0,UD Las Palmas,DEF CENTRAL,,0.0,0.0,0.0,,Tactical,Collective,No MD
VITOLO MACHÍN,2022-02-08,110.92866666666667,8077.40672814317,663.968976660588,662.486097970577,24.0,348.603397021934,662.486097970577,10.0,24.0,3444.0,3449.0,366.6461397796848,295.2902707136753,92.0839181313613,62.4864008951892,57.9342830223312,41.772411229016996,37.7638818760267,461.48488624567403,1171.255782055484,86.0,142.8357322589332,6903.0,187.0,9088.49622313568,816.8321542739868,585.3310546875,33.0,49.0,0.0,138.0,18.0,4.4836380990449705,0.0,0.0,7870.909846305391,6.656966763464926,0.8301183174595202,72.81622479440094,5.972181203270964,31.046979139747464,31.092053151274392,0.09014802305385443,7.363580387462094,5.276643741210568,0.4417253129638867,0.0,1.244042718143191,0.16226644149693797,4.160195016428041,10.558639324269805,8.201717708015789,10.112554459192866,4.315783626536171,14.50039377086972,,,,,,,,34.6829996109009,4.92480230331421,-4.39281129837036,0.0,UD Las Palmas,EXTREMO,,0.0,0.0,0.0,,Tactical,Collective,No MD
Álvaro Jimenez,2022-02-08,120.83016666666667,3516.16708998195,543.718050898002,509.913871636173,27.0,234.976180966614,509.913871636173,11.0,27.0,2135.0,2145.0,435.784587221771,395.444133236836,62.79147964874672,41.38625220981963,40.54156056826456,26.16744608884407,26.35250252185744,344.123165116094,1122.17240769992,82.0,337.780922992711,4291.0,140.0,4261.057142584737,775.4795684814451,386.477035522461,54.0,46.0,1.0,94.0,23.0,5.5692437133777,0.0,0.0,4965.470819301865,4.50617551458672,0.5196672435449761,29.100076470820202,4.220087464108767,17.669428578128255,17.75218936772136,0.09103686855241723,6.417930140084596,3.198514461944197,0.3806996321282902,0.008276078959310658,0.7779514221752019,0.1903498160641451,2.847990486228693,9.28718745208429,14.50198066778421,22.054684792736225,6.682736484170331,31.914649644982617,,,,,,,,30.1272002220154,5.37291669845581,0.0,0.0,UD Las Palmas,EXTREMO,,0.0,0.0,0.0,,Tactical,Collective,No MD
ALEGARCIA GARCÍA,2022-02-09,60.0,2596.857400421603,319.4709541694983,64.37833106634233,5.0,54.99375458084232,64.37833106634233,5.0,5.0,2127.0,2134.0,112.05486114278212,143.21332379780247,38.38199993077972,25.186313222017645,24.71201862332033,16.984456946100778,14.936323441795963,165.09054986374252,373.306567700964,61.0,51.47449465079822,4266.0,84.0,2716.229486068788,126.30059434254802,54.43227937835991,16.0,19.0,0.0,65.0,8.0,4.17832450981255,0.0,0.0,6800.649565724809,6.442347101376143,0.6396999988463287,43.28095667369338,1.0729721844390387,35.45,35.56666666666667,0.08333333333333333,2.105009905709134,0.9072046563059984,0.31666666666666665,0.0,1.0833333333333333,0.13333333333333333,2.7515091643957086,6.221776128349401,2.479086108305001,4.863593754591337,2.1177040592184238,14.375320248249182,,,,,,,,24.639599895477264,4.86405324935913,-5.923757076263427,0.0,UD Las Palmas,DELANTERO,,4.0,0.0,0.0,,Tactical,,-1 MD
ALEX SUAREZ,2022-02-09,60.0,2402.1706732678085,233.1424747036892,20.837660602611138,2.0,26.67934626939242,0.0,2.0,0.0,2241.0,2255.0,70.91641228459366,81.93793618639275,34.94187647542973,22.86003485367824,22.71364530212868,15.627568374490837,13.29894105155285,127.11227206514724,245.11901413471583,45.0,75.6613481431884,4498.0,68.0,2449.687680139812,40.95116379652754,16.77064675813027,7.0,14.0,0.0,54.0,4.0,4.050819800098286,0.0,0.0,6219.323421202423,5.97936442248677,0.5823646079238288,40.03617788779681,0.3472943433768523,37.35,37.583333333333336,0.03333333333333333,0.6825193966087924,0.27951077930217116,0.23333333333333334,0.0,0.9,0.06666666666666667,2.118537867752454,4.085316902245264,0.8674512945520432,1.7047566291707057,1.1106349172558583,10.204063219257712,,,,,,,,23.86579999923704,4.368956247965497,-4.886842091878254,0.0,UD Las Palmas,DEF CENTRAL,,4.0,0.0,0.0,,Tactical,,-1 MD
Alberto Moleiro,2022-02-09,60.0,3142.23868416372,317.7623644405777,72.23828928673363,5.0,12.602284784063617,0.0,1.0,0.0,2261.0,2271.0,110.21385305751129,94.49961106402392,45.61091710906553,29.696044936103387,29.727646463637512,18.920856120105388,18.801331402994037,227.82208455376133,416.5206497434359,71.0,61.081672458521766,4533.0,91.0,3227.079258234517,131.89934830584895,46.22020314726826,13.0,23.0,1.0,68.0,3.0,4.549135060034673,0.0,0.0,8168.012481331798,6.727011386871983,0.7601819518177588,52.370644736062,1.2039714881122272,37.68333333333333,37.85,0.016666666666666666,2.198322471764149,0.7703367191211377,0.38333333333333336,0.016666666666666666,1.1333333333333333,0.05,3.7970347425626887,6.942010829057265,2.298943414158853,4.197623464143458,0.40106071023747225,13.255538220015561,,,,,,,,23.8556002616882,5.053327719370524,-4.474276065826416,0.0,UD Las Palmas,MC,,4.0,0.0,0.0,,Tactical,,-1 MD
Alejandro Palanca,2022-02-09,60.0,2425.159573029859,256.75376842150894,74.36011459539725,5.0,53.073041439390686,74.36011459539725,3.0,5.0,2185.0,2211.0,113.42804010391356,82.20946430865962,37.237288542537456,23.54880078847592,25.009219479026225,15.243929841152708,14.681352742853983,177.5252401894088,316.4370206893236,59.0,40.324956438831286,4399.0,86.0,2552.592729064647,80.60910908532817,36.78107660487871,6.0,24.0,0.0,62.0,3.0,4.126873419699156,0.0,0.0,6449.212666313128,6.23928362117881,0.6206214757089576,40.41932621716432,1.239335243256621,36.416666666666664,36.85,0.05,1.3434851514221362,0.6130179434146452,0.4,0.0,1.0333333333333334,0.05,2.9587540031568134,5.27395034482206,3.0661947123956,3.3238682510536672,2.188435022157498,13.048090699202314,,,,,,,,23.8692000389099,4.5316217740376805,-4.907867749532063,0.0,UD Las Palmas,DEF LATERAL,,4.0,0.0,0.0,,Tactical,,-1 MD
Alvaro Lemos,2022-02-09,60.0,1922.594346189336,191.71836394955292,11.812111642547745,1.0,7.350013216128501,0.0,1.0,0.0,2384.0,2392.0,83.70431707920613,46.27051093002167,29.97742879237304,19.423211999764632,19.65963708421012,12.545986513905389,12.096812341710198,117.26935670104572,184.46444441625087,38.0,82.36146014824004,4777.0,63.0,1941.7564710480124,24.079220223746272,4.884409615468193,4.0,17.0,0.0,46.0,2.0,3.88866048153827,0.0,0.0,4978.922462588207,5.82169900642079,0.49962381320621735,32.0432391031556,0.19686852737579574,39.733333333333334,39.86666666666667,0.016666666666666666,0.40132033706243786,0.08140682692446988,0.2833333333333333,0.0,0.7666666666666667,0.03333333333333333,1.9544892783507621,3.0744074069375147,0.6143839789168138,1.2524337373337393,0.38229662074563675,9.594558768045234,,,,,,,,22.2477999687195,4.345308780670163,-5.500888029734294,0.0,UD Las Palmas,DEF LATERAL,,4.0,0.0,0.0,,Tactical,,-1 MD
BENITO  RAMIREZ,2022-02-09,60.0,2570.614703330852,228.16729249200276,41.76362361027947,3.0,9.50673424342699,0.0,1.0,0.0,2201.0,2218.0,59.08360374509307,70.63410701602862,30.801494922975586,19.892144041171505,20.21334732118743,13.24977699242983,11.949062888146308,165.21235664709775,307.64048417041727,46.0,31.463613922928463,4420.0,58.0,2621.8850611845583,84.4915166356983,31.514926408172308,10.0,11.0,0.0,47.0,5.0,4.358220218193867,0.0,0.0,6641.99137793509,6.42489048048193,0.5133582487162598,42.84357838884753,0.6960603935046578,36.68333333333333,36.96666666666667,0.016666666666666666,1.408191943928305,0.5252487734695385,0.18333333333333332,0.0,0.7833333333333333,0.08333333333333333,2.753539277451629,5.127341402840288,1.6246551284470834,3.2868214955053023,0.36982338236487644,11.967584398073921,,,,,,,,25.013999938964837,4.472605228424073,-5.309716542561847,0.0,UD Las Palmas,EXTREMO,,4.0,0.0,0.0,,Tactical,,-1 MD
COCO BASILIO,2022-02-09,60.0,2312.683066038156,234.59387074279613,45.4814954934039,2.0,36.76612067958741,0.0,2.0,0.0,2142.0,2158.0,112.73396919936287,63.83347325824074,34.173491675630814,21.46205354913877,23.00037969561532,14.332627207067668,12.91416459943569,163.67692049027153,229.34932912336208,52.0,43.8624596604049,4302.0,82.0,2394.930682211147,28.02163834268272,13.587449079455482,5.0,28.0,1.0,54.0,4.0,4.304530840067386,0.0,0.0,6130.972597262471,6.431828440232896,0.5695581945938469,38.5447177673026,0.758024924890065,35.7,35.96666666666667,0.03333333333333333,0.4670273057113787,0.22645748465759136,0.4666666666666667,0.016666666666666666,0.9,0.06666666666666667,2.727948674837859,3.8224888187227015,1.9666116884454032,1.2116506041913657,1.589760448351068,9.917023758740063,,,,,,,,21.186999893188467,5.444811979929607,-5.7324382464091,0.0,UD Las Palmas,DEF CENTRAL,,4.0,0.0,0.0,,Tactical,,-1 MD
ERIC CURBELO,2022-02-09,60.0,2089.9496990362786,194.8269433594853,35.979850796502895,2.0,0.0,0.0,0.0,0.0,2114.0,2126.0,80.11619884163169,50.15297297564096,28.97336402629836,18.87608009700768,18.906249246130272,13.019423204294169,10.874101671673536,116.40018483601992,197.3740783630188,38.0,69.48367181372168,4240.0,62.0,2125.929549832781,37.16248461466754,8.67494697963777,5.0,18.0,0.0,44.0,4.0,3.815553175684283,0.0,0.0,5445.612130404783,5.683668523741644,0.48288940043830597,34.83249498393798,0.599664179941715,35.233333333333334,35.43333333333333,0.0,0.6193747435777923,0.1445824496606295,0.3,0.0,0.7333333333333333,0.06666666666666667,1.9400030806003319,3.28956797271698,1.7215653952386505,1.7781521072877484,0.0,9.44396309892206,,,,,,,,21.474399948120134,4.784691333770753,-5.31202014287313,0.0,UD Las Palmas,DEF CENTRAL,,4.0,0.0,0.0,,Tactical,,-1 MD
Enzo Loiodice,2022-02-09,60.0,2884.8679507818383,345.9933073000529,53.32714988638689,5.0,42.7633487980186,0.0,4.0,0.0,2055.0,2061.0,107.12771480408652,129.00421586117076,52.20260497720432,34.85694777058298,32.96424727772744,23.84722978089648,20.428247479685496,221.5115466279944,411.8591394505535,74.0,155.8121218483315,4120.0,99.0,2980.958449466244,121.83763449961062,35.172393310451675,14.0,23.0,0.0,76.0,8.0,4.561177322356244,0.0,0.0,7672.988387433732,6.876856381622254,0.8700434162867386,48.08113251303064,0.8887858314397815,34.25,34.35,0.06666666666666667,2.0306272416601767,0.5862065551741946,0.38333333333333336,0.0,1.2666666666666666,0.13333333333333333,3.6918591104665732,6.864318990842559,1.8485126805174743,4.2233348831994535,1.4823329707839539,14.276533500915844,,,,,,,,23.624199962616,4.86211140950521,-5.70716190338135,0.0,UD Las Palmas,MC,,4.0,0.0,0.0,,Tactical,,-1 MD
Fabio GLZ,2022-02-09,60.0,2502.471854675327,296.36326928378617,7.9187642456891,1.0,0.0,0.0,0.0,0.0,2100.0,2108.0,103.2983902308676,86.92517830171913,42.1557378044943,26.439525760391533,28.5681162862923,17.9708362810239,15.541636129954684,180.23981602264627,342.34610759737296,63.0,95.23684932385488,4208.0,82.0,2510.390618921016,45.537908299161984,4.090883980203914,7.0,21.0,0.0,61.0,2.0,4.728907879848907,0.0,0.0,6725.384303122448,7.15330606038556,0.702595630074905,41.707864244588784,0.13197940409481831,35.0,35.13333333333333,0.0,0.7589651383193664,0.06818139967006524,0.35,0.0,1.0166666666666666,0.03333333333333333,3.0039969337107713,5.705768459956216,0.31643769462959603,1.8197171014764566,0.0,13.68031800069093,,,,,,,,20.8605999946594,4.638375441233319,-4.46076170603434,0.0,UD Las Palmas,MC,,4.0,0.0,0.0,,Tactical,,-1 MD
JOEL DEL PINO,2022-02-09,60.0,2576.633829162258,213.98524199844977,176.26264557812112,6.0,34.395623459868624,176.26264557812112,2.0,6.0,2210.0,2231.0,103.95589734486428,30.064095319135397,36.94379920791079,23.27959665981838,24.93632873925715,15.937829469653392,13.5351103555643,179.60438121962014,378.3201511715926,36.0,100.44295013789618,4443.0,49.0,2787.2920982002474,262.21295004676045,114.92253917805718,17.0,15.0,1.0,34.0,1.0,4.32028444951108,0.0,0.0,6079.355471902344,6.26198632915802,0.6157299867985132,42.943897152704295,2.937710759635352,36.833333333333336,37.18333333333333,0.03333333333333333,4.370215834112674,1.9153756529676196,0.25,0.016666666666666666,0.5666666666666667,0.016666666666666666,2.9934063536603355,6.305335852859877,6.8408108122770965,10.176570185450599,1.3349053742359538,14.682728561962413,,,,,,,,25.61819987297055,5.001397371292115,-3.98478317260742,0.0,UD Las Palmas,DEF LATERAL,,4.0,0.0,0.0,,Tactical,,-1 MD
Julen Julenfilial,2022-02-09,60.0,2251.13285202755,221.3882788100987,20.14573295233189,2.0,0.0,20.14573295233189,0.0,2.0,2083.0,2104.0,63.12366315522464,56.08391820426927,39.99390074619311,24.37772286622893,27.770311115486017,17.34357308678868,13.490635418333932,166.36273801252227,270.7278039876759,52.0,139.8663051069885,4187.0,65.0,2271.278584979882,53.48300397613302,6.19363316848135,8.0,14.0,0.0,51.0,2.0,4.329464417001687,0.0,0.0,5918.056249525765,6.43987344873891,0.6665650124365519,37.51888086712584,0.3357622158721982,34.71666666666667,35.06666666666667,0.0,0.891383399602217,0.10322721947468917,0.23333333333333334,0.0,0.85,0.03333333333333333,2.7727123002087044,4.512130066461265,0.8949153282618142,2.3758261947073427,0.0,12.026291728799427,,,,,,,,20.6984001159668,4.124483823776244,-4.160972197850543,0.0,UD Las Palmas,MC,,4.0,0.0,0.0,,Tactical,,-1 MD
MARVIN PARK,2022-02-09,60.0,2363.611161411496,261.74487883300503,51.72858147931372,3.0,16.65265209327875,51.72858147931372,1.0,3.0,2255.0,2273.0,105.390254002522,97.22882793699172,36.80345253437032,24.637357472551216,23.318939411484106,16.566734295416143,14.651680214685731,157.46025576916105,301.3325514010859,50.0,105.67934715176258,4529.0,94.0,2431.992394984088,90.5215195346452,41.04170318360229,13.0,22.0,1.0,72.0,9.0,4.14935220357264,0.0,0.0,6057.0638710886,6.270907436619795,0.6133908755728387,39.39351935685827,0.8621430246552286,37.583333333333336,37.88333333333333,0.016666666666666666,1.5086919922440865,0.6840283863933715,0.36666666666666664,0.016666666666666666,1.2,0.15,2.6243375961526842,5.022209190018098,2.188540244006233,3.8297974308340867,0.7045427930427506,12.748820801012666,,,,,,,,26.098199987411498,5.322394847869875,-7.001230955123905,0.0,UD Las Palmas,DEF LATERAL,,4.0,0.0,0.0,,Tactical,,-1 MD
